ra,ra_err,dec,dec_err,u,u_err,g,g_err,r,r_err,i,i_err,z,g_err1
345.442080808307,0.0622844457981957,59.6270179021494,0.0647401016014501,24.23098,0.7211102,23.47764,0.3426836,21.86241,0.1071502,21.11045,0.1028914,20.30814,0.3426836
345.41911148149,0.118784001713883,59.6266740482665,0.111437591713825,25.15502,0.8176534,24.37606,0.570146,22.40704,0.1913841,21.02871,0.07987426,19.902,0.570146
345.412351967647,0.0420708691931619,59.6249884141331,0.0450081318720396,24.71268,0.9143578,23.42392,0.3534517,21.42064,0.07650291,20.42404,0.05035157,19.83081,0.3534517
345.423052410022,0.0326181685995943,59.6340231883988,0.03217956961384,23.8982,0.7500096,23.09985,0.527778,21.14367,0.1299028,20.34436,0.1758442,19.75364,0.527778
345.415478478484,0.0358053496463644,59.6257728594838,0.0364903423453926,23.85426,1.059611,22.54852,0.1698751,21.06189,0.1179436,20.42007,0.1508714,19.98421,0.1698751
345.422511575002,0.0406667604912554,59.6257113137923,0.0408125478818178,24.64156,0.9109246,23.16177,0.2580397,21.15513,0.06383306,20.22458,0.04528062,19.50871,0.2580397
345.426239205982,0.0235954241568796,59.6366642568005,0.02359756302802,23.4208,1.286129,21.93246,0.1870294,20.60746,0.1520513,19.74414,0.1285716,19.60694,0.1870294
345.42631518543,0.0193274055973683,59.6328140926025,0.0198359828416421,23.9526,1.089198,22.49303,0.1432193,20.41206,1.124896,24.36213,4.427363,18.99833,0.1432193
345.438051251355,0.0176909389781171,59.6317848088581,0.0179366465523396,23.86032,0.7446756,21.79534,0.07096843,20.27007,0.02748245,19.51616,0.03086689,18.785,0.07096843
345.413441865778,0.0169966957091956,59.6312123742465,0.0151679673924716,23.39182,0.4624021,21.21545,0.09707969,20.0157,0.1011128,19.37978,0.106425,18.8352,0.09707969
345.443787434013,0.0132495158227382,59.6256821404057,0.0132619217698275,22.56049,0.3287857,20.97897,0.08009309,19.8494,0.1128172,19.21812,0.1394517,18.77818,0.08009309
345.419151319614,0.0132602675269072,59.6327063109826,0.0139451462794615,23.01743,0.5840626,21.40618,0.06194889,19.985,0.06579041,19.31204,0.08331867,18.778,0.06194889
